ticker,sector,signal_date,entry_date,exit_date,entry,stop,target,exit,status,ret_pct,score,hold_days
BPCL,Energy,2022-12-16,2022-12-19,2022-12-22,144.21021206367763,139.69307549066286,153.24448520970714,139.69307549066286,STOP_HIT,-3.4323278070072956,75,4
POLYCAB,CapGoods,2022-12-16,2022-12-19,2022-12-22,2708.7083458533657,2587.957110197763,2950.210817164571,2587.957110197763,STOP_HIT,-4.757889895767297,75,4
NAUKRI,Internet,2022-12-20,2022-12-21,2022-12-22,831.8747820672478,798.2562183939697,899.111909413804,798.2562183939697,STOP_HIT,-4.3413009743767494,85,2
TRENT,Retail,2023-04-26,2023-04-27,2023-04-28,1373.1988199723025,1327.1500154086707,1465.296429099566,1327.1500154086707,STOP_HIT,-3.6533967473523328,90,2
RECLTD,NBFC,2023-04-26,2023-04-27,2023-05-02,105.46882150895077,102.13847571164737,112.12951310355756,112.79771708847552,TARGET_HIT,6.648874060285948,85,3
ONGC,Energy,2023-04-27,2023-04-28,2023-04-28,136.79000480778856,133.29201329062977,143.78598784210615,133.29201329062977,STOP_HIT,-2.8571981827722133,75,1
DEEPAKNTR,Chemicals,2023-04-28,2023-05-02,2023-05-18,1871.4575188066538,1824.8526011942342,1964.6673540314928,1964.6673540314928,TARGET_HIT,4.680601177860278,85,13
ULTRACEMCO,Cement,2023-04-28,2023-05-02,2023-05-30,7271.436554641026,7083.135018159134,7648.039627604811,7648.039627604811,TARGET_HIT,4.879211427258013,85,21
TRENT,Retail,2023-05-02,2023-05-03,2023-05-15,1404.5392012692707,1351.2381307552305,1511.141342297351,1511.141342297351,TARGET_HIT,7.289830239821338,100,9
DIXON,CapGoods,2023-05-15,2023-05-16,2023-05-22,2952.0760998386268,2847.6703409183197,3160.887617679241,3160.887617679241,TARGET_HIT,6.773378557281385,85,5
HINDUNILVR,FMCG,2023-05-18,2023-05-19,2023-06-19,2462.933411093132,2406.973295979663,2574.85364132007,2534.625,EXPIRED,2.6108212420184467,75,22
BANDHANBNK,Bank,2023-05-22,2023-05-23,2023-05-24,234.82772883784352,225.6400875715945,253.20301137034159,253.20301137034159,TARGET_HIT,7.525005429911047,90,2
ICICIBANK,Bank,2023-05-24,2023-05-25,2023-06-20,906.7185078782338,887.2298519474418,945.6958197398177,887.2298519474418,STOP_HIT,-2.449361214253409,60,19
DIVISLAB,Pharma,2023-05-30,2023-05-31,2023-06-30,3350.662493390635,3216.088103874631,3619.811272422643,3502.751708984375,EXPIRED,4.2390789401721145,75,22
